firstName,First Name,Jon
lastName,Last Name,Morrill
middleInitial,Middle Initial,J.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",Jonny
age,Age,15
,,
studentId,Student Id,100002
schools,Schools,San Clemente High School
familyId,Family Id,394
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,5/16/98
somefield,somefield,Male
,,
status,Active,Active
email,Email,j.morrill@tmail.com
timezone,Timezone,"(GMT -8, DST) Pacific"
,,
country,Country,United States of America
schoolDistrict,School District,Orange County
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,9th Grade
gradeLevelStartDate,Grade Level Start,12/7/12
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100002.png,
topData,2013,School Year
topData,San Clemente High School,School Name
topData,12th Grade,Grade Level
topData,(714) 555-7701,Parent's cell
,,
isMeetingGoals,FALSE,
