firstName,First Name,Matthew
lastName,Last Name,Berger
middleInitial,Middle Initial,D.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",Matt
age,Age,17
,,
studentId,Student Id,100009
schools,Schools,Fallbrook High School
familyId,Family Id,695
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,10/30/96
somefield,somefield,Male
,,
status,Active,Active
email,Email,matt.berger@tmail.com
timezone,Timezone,"(GMT -8, DST) Pacific"
,,
country,Country,United States of America
schoolDistrict,School District,Orange Country
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,11th Grade
gradeLevelStartDate,Grade Level Start,9/5/10
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100009.png,
topData,2013,School Year
topData,Fallbrook High School,School Name
topData,11th Grade,Grade Level
topData,(714) 555-3434,Parent's cell
,,
isMeetingGoals,FALSE,
