firstName,First Name,Gabriel
lastName,Last Name,Enck
middleInitial,Middle Initial,D.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",Gabe
age,Age,15
,,
studentId,Student Id,100010
schools,Schools,Edison High School
familyId,Family Id,345
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,2/14/98
somefield,somefield,Male
,,
status,Active,Active
email,Email,genck@tmail.com
timezone,Timezone,"(GMT -5, DST) Eastern"
,,
country,Country,United States of America
schoolDistrict,School District,Pittsburgh Public School District
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,9th Grade
gradeLevelStartDate,Grade Level Start,9/5/12
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100010.png,
topData,2013,School Year
topData,Edison High School,School Name
topData,9th Grade,Grade Level
topData,(215) 555-3456,Parent's cell
,,
isMeetingGoals,TRUE,
