firstName,First Name,Joseph
lastName,Last Name,Suchta
middleInitial,Middle Initial,R.
,,
suffix,Suffix,n/a
nickname,"""Nickname""",Joe
age,Age,16
,,
studentId,Student Id,100015
schools,Schools,Oswego High School
familyId,Family Id,573
,,
username,Username,test
password,Password,test
,,
gender,Gender,Male
dateOfBirth,D.O.B,2/14/99
somefield,somefield,Male
,,
status,Active,Active
email,Email,jsuchta@tmail.com
timezone,Timezone,"(GMT -5, DST) Eastern"
,,
country,Country,United States of America
schoolDistrict,School District,New York Public School District
studentRole,Student Role,Tutor
,,
gradeLevel,Grade Level,10th Grade
gradeLevelStartDate,Grade Level Start,9/5/10
geniusUsername,Genius Username,test
,,
,,
startDate,9/16/13,
endDate,9/30/13,
imageUrl,/core/res/img/sp100015.png,
topData,2013,School Year
topData,Oswego High School,School Name
topData,10th Grade,Grade Level
topData,(212) 555-4567,Parent's cell
,,
isMeetingGoals,FALSE,
