STUDENTS,,,,,,,,,,,,,,,
id,100001,100002,100003,100004,100005,100006,100007,,,,,,,,
firstName,David,Jonny,John,Kondo,Charles,David,Angel,,,,,,,,
lastName,Mullich,Morrill,Say,Park,Wong,Shelly,Berger,,,,,,,,
coach,David Watson,Joseph Suchta,David Zeiler,William Taylor,David Yen,Cory Finnimore,Ray Royzicki,,,,,,,,
currentGrade,12,10,11,11,9,12,11,,,,,,,,
picUrl,/core/res/img/sp100001.png,/core/res/img/sp100002.png,/core/res/img/sp100003.png,/core/res/img/sp100004.png,/core/res/img/sp100005.png,/core/res/img/sp100006.png,/core/res/img/sp100007.png,,,,,,,,
,,,,,,,,,,,,,,,
EVENT STUDENTS,,,,,,,,,,,,,,,
eventId,200,200,200,200,200,200,200,201,201,201,201,,,,
studentId,100001,100002,100003,100004,100005,100006,100007,100001,100002,100003,100001,,,,
lastWeekProgress1,2,2,2,2,2,2,2,2,2,2,2,,,,
lastWeekProgress2,5,5,5,5,5,5,5,5,5,5,5,,,,
nineWeekProgress1,43,43,43,43,43,43,43,43,43,43,43,,,,
nineWeekProgress2,57,57,57,57,57,57,57,57,57,57,57,,,,
lastWeekProgress1Total,45,45,45,45,45,45,45,45,45,45,45,,,,
lastWeekProgress2Total,76,76,76,76,76,76,76,76,76,76,76,,,,
nineWeekProgress1Total,80,80,80,80,80,80,80,80,80,80,80,,,,
nineWeekProgress2Total,80,80,80,80,80,80,80,80,80,80,80,,,,
categoryId,10,11,11,12,12,10,10,10,10,10,10,,,,
groupId,0,1,1,1,1,0,0,0,0,0,0,,,,
clo,0,0,0,0,0,0,0,0,0,0,0,,,,
late,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
present,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,
earlyOut,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
excused,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
rollCallNotes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
enrollDate,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,9/13/11,,,,
interventionAlert,0,1,0,10,1,1,1,1,1,1,1,,,,
plpAlert,0,0,0,0,1,0,0,0,0,1,0,,,,
,,,,,,,,,,,,,,,
EVENTS,,,,,,,,,,,,,,,
id,200,201,202,203,204,205,,,,,,,,,
name,Algebra 1,American History,English 101,Biology,Geometry,Physical Science,,,,,,,,,
startTime,10:00,14:00,8:00,15:30,12:00,9:00,,,,,,,,,
endTime,11:30,15:00,9:00,16:30,13:30,10:00,,,,,,,,,
categoryIds,"10,11,12,13","10,11,12,13","10,11,12,13","10,11,12,13","10,11,12,13","10,11,12,13",,,,,,,,,
,,,,,,,,,,,,,,,
CATEGORIES,,,,,,,,,,,,,,,
id,10,11,12,13,,,,,,,,,,,
name,Foundational,Collaborative,Personal,Conceptual,,,,,,,,,,,
isGroupType,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,
,,,,,,,,,,,,,,,
SCHEDULE,,,,,,,,,,,,,,,
day,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
eventIds,,,,,"200,201","202,205","203,204","200,201","202,203","200,204","201,205",,,,
